Case Number,Month,Day,Year,Country,Region,Attack Location,Provoked (Y/N),Injury Description,Fatal (Y/N),Victim_Gender,Activity,Investigator or Source
1997.08.14.a,Aug,14,1997,mexico,quintana roo,"santa rosa, cozumel",Unprovoked,"FATAL, arm & leg severed ",y,m,SCUBA diving,"Charlotte Observer, 8/22/2997, p.7C & 8C; York Observer, 8/22/1997, p.2Y; UWSports.com"
1997.08.11.c,Aug,11,1997,usa,florida,new smyrna beach,Unprovoked,Small lacerations on right lower leg,n,f,Floating on raft,"S. Petersohn, GSAF"
1997.08.11.b,Aug,11,1997,egypt,red sea,safaga,Unprovoked,Seriously injured,n,m,Fishing,"Middle East Times, 8/15/1997"
1997.08.11.a,Aug,11,1997,egypt,red sea,safaga,Unprovoked,FATAL,y,m,Fishing,"Middle East Times, 8/15/1997"
1997.08.10,Aug,10,1997,usa,florida,new smyrna beach,Unprovoked,Lacerations to foot,n,m,Boogie boarding,"S. Petersohn, GSAF"
1997.07.27,Jul,27,1997,australia,queensland,"pincushion, north of maroochydore beach",Unprovoked,Leg lacerated,n,m,Surfing,"Courier-Mail, 7/28/1997, p.5"
1997.07.21,Jul,21,1997,south africa,eastern cape province,"breezy point, ntlonyana",Unprovoked,FATAL,y,m,Surfing,"A. Gifford, GSAF, G. Cliff, NSB"
1997.07.17,Jul,17,1997,brazil,pernambuco,"boa viagem, recife",Unprovoked,Survived,n,m,Surfing,JCOnline
1997.07.14,Jul,14,1997,usa,south carolina,myrtle beach,Unprovoked,Left calf bitten,n,m,Standing,"Charlotte Observer, 7/17/1997, p.2C; C. Creswell, GSAF"
1997.07.12,Jul,12,1997,okinawa,miyako,hirara,Unprovoked,"FATAL, legs severed  ",y,m,Fishing for octopus,"Okinawa Weekly Times, 7/19/1997 editon; Ryukyu Shrimpo News (Japan)"
1997.06.24,Jun,24,1997,usa,hawaii,"sunset beach, oahu",Unprovoked,Leg bitten just above ankle,n,m,Spearfishing / night diving,Hawaii Department of Land and Natural Resources
1997.06.15,Jun,15,1997,fiji,taveuni,off a small island 5 km from garden island resort,Unprovoked,"Bitten on inner thigh, leg surgically amputated",n,f,Snorkeling,"R. D. Weeks, GSAF; Otago Daily Times, 6/17/1997, p.2; Sport Diver Magazine, Dec97/Jan98, p.8"
1997.05.31.c,May,31,1997,usa,florida,in gulf of mexico 17 miles off weeki wachee,Unprovoked,Right thigh punctured,n,m,Spearfishing,"R. Nelson, St. Petersburg Times, 6/6/1997"
1997.05.31.b,May,31,1997,usa,florida,flagler beach,Unprovoked,Left elbow bitten,n,m,Surfing,"A. Mikula, Daytona Beach News-Journal, 6/1/199,  p.2C"
1997.05.31.a,May,31,1997,usa,florida,flagler beach,Unprovoked,Left ankle bitten,n,m,Surfing,"A. Mikula, Daytona Beach News-Journal, 6/1/1997, p.2C"
1997.05.26,May,26,1997,bahamas,abaco islands,powell cay,Unprovoked,Right arm bitten,n,m,Spearfishing,"The Mirror (London); Orlando Sentinel, 5/28, 1997, p.C3"
1997.05.17,May,17,1997,bahamas,abaco islands,walkers cay,Unprovoked,Leg bitten,n,m,Spearfishing,"Miami Herald, 5/18/1997"
1997.04.20,Apr,20,1997,brazil,rio de janeiro,"manguinhos, ilha feia, búzios",Unprovoked,Lower left leg & ankle bitten,n,m,Windsurfing,"O. Gadig; Globo, 4/24/1997"
1997.02.28.b,Feb,28,1997,australia,queensland,"carrara, nerang river",Unprovoked,Left leg biten,n,f,Swimming,"The Advertiser, 3/1/1997, p.12"
1997.02.28.a,Feb,28,1997,australia,queensland,whitsunday passage,Unprovoked,Left arm bitten,n,m,Scuba diving,"The Advertiser, 3/1/1997, p.12"
1997.02.20,Feb,20,1997,reunion,l'etang-sale,,Unprovoked,Hand injured,n,m,,"LeQuotidien, 12/4/1999"
1997.01.25,Jan,25,1997,australia,queensland,"whitehaven beach, whitsundays island",Unprovoked,"Left leg lacerated, punctures to right leg",n,m,Snorkeling,"Sunday Mail (QLD), 1/26/1997, p.2; Hobart Mercury, 1/27/1997, p.2"
1997.01.20,Jan,20,1997,australia,western australia,geraldton,Unprovoked,"Presumed fatal, no body recovered, shark mutilated wetsuit & harness recovered ",y,m,Windsurfing,"Daily Telegraph, 1/22/1997, p.1; H. Edwards, p.14-15"
1996.12.10,Dec,10,1996,south africa,eastern cape province,"duck pond, sardina bay near port elizabeth",Unprovoked,Elbow bitten,n,m,Surfing,"A. Gifford, GSAF"
1996.11.29.a,Nov,29,1996,usa,california,salmon creek beach,Unprovoked,Single laceration on ankle & board bitten,n,m,Surfing,"R. Collier, p.158"
1996.11.18,Nov,18,1996,usa,florida,coral cove park,Unprovoked,Right foot bitten,n,m,Surfing,"Jupiter Courier, 11/20/1996"
1996.10.28.a,Oct,28,1996,brazil,pernambuco,barra de jangada,Unprovoked,Survived,n,m,Surfing,JCOnline
1996.09.18,Sep,18,1996,usa,florida,new smyrna beach,Unprovoked,4 or 5 lacerations on left ankle,n,m,Swimming,"S. Petersohn, GSAF; Orlando Sentinel, 9/19/1996, p.D3; Tallahassee Democrat, 9/20/1996"
1996.08.29,Aug,29,1996,usa,hawaii,"paukukalo, maui",Unprovoked,Right calf bitten,n,m,Body Boarding,"Allen, p.117"
1996.08.13,Aug,13,1996,usa,california,"bird rock, tomales point",Unprovoked,"Left shoulder, forearm, hand & abdomen lacerated",n,m,Free diving for abalone,"R. Collier, pp.154-155      "
1996.08.11,Aug,11,1996,usa,florida,bayshore garden,Unprovoked,"No injury, towed by shark that grabbed stringer of fish tied to his waist",n,m,Wade fishing,"Bradenton Herald, 8/12/1996, p.L2"
1996.07.26,Jul,26,1996,usa,florida,wiggins pass,Unprovoked,Survived,n,f,Standing,Press clipping
1996.07.23.b,Jul,23,1996,okinawa,miyako,hirara city,Unprovoked,"FATAL, torso & abdomen bitten,  forearm severedL",y,m,Swimming,"press clippings ; Okinawa Weekly  Times, 10/14/1996 "
1996.07.23.a,Jul,23,1996,egypt / israel,"south sinai, gulf of aqaba","1 km off the mouth of marsa bereika, north of ras mohammed",Unprovoked,"Bitten on back, shoulder & chest",n,m,Free diving with a pod of dolphins,"Daily Telegraph, 7/26/1996, p.15; K. Lavalli & O. Goffman"
1996.07.21,Jul,21,1996,usa,massachusetts,truro (cape cod),Unprovoked,Lacerations to left leg & right foot ,n,m,Swimming,"Associated Press, 7/23/1996"
1996.07.20,Jul,20,1996,usa,florida,new smyrna beach,Unprovoked,Laceration to right arm,n,m,Swimming,"S. Petersohn, GSAF"
1996.07.10,Jul,10,1996,usa,florida,new smyrna beach,Unprovoked,Right foot bitten,n,m,,"S. Petersohn, GSAF"
1996.06.25,Jun,25,1996,usa,south carolina,fripp island,Unprovoked,"Lacerations to left shin, heel & foot",n,f,Body surfing,"C. Creswell, GSAF; Macon Telegraph, 6/17/1996"
1996.05.28,May,28,1996,south africa,western cape province,"the steps, wilderness",Unprovoked,Leg bitten,n,m,Surfing,"A. Gifford, GSAF"
