Case Number,Month,Day,Year,Country,Region,Attack Location,Provoked (Y/N),Injury Description,Fatal (Y/N),Victim_Gender,Activity,Investigator or Source
2016.07.16.a,Jul,16,2016,usa,florida,new smyrna beach,Unprovoked,Minor injury to toes,n,f,,"Orlando Sentinel, 7/21/2016"
2016.07.15,Jul,15,2016,usa,south carolina,north myrtle beach,Unprovoked,Puncture wounds to foot,n,m,Swimming,"C. Creswell, GSAF"
2016.07.14.4,Jul,14,2016,bahamas,,tiger beach,Unprovoked,Face bruised when partly blind shark collided with him,n,m,Scuba Diving,"GrindTV, 7/14/2016"
2016.06.27,Jun,27,2016,usa,south carolina,sullivan's island,Unprovoked,Minor injury,n,m,,"C. Creswell, GSAF"
2016.06.25,Jun,25,2016,usa,north carolina,atlantic beach,Unprovoked,Foot injured,n,m,Surfing,"C. Creswell, GSAF"
2016.06.24,Jun,24,2016,columbia,isla provedencia,,Unprovoked,Severe bite to right hand,n,m,Scuba Diving,Dr. A. Velez
2016.06.23,Jun,23,2016,south africa,western cape province,ryspunt,Unprovoked,Injuries to left leg & right hand,n,m,Spearfishing,"News 24, 6/23/2016"
2016.06.21.b,Jun,21,2016,usa,south carolina,north myrtle beach,Unprovoked,Lacerations and punctures to foot,n,m,Floating,"C. Creswell, GSAF"
2016.06.21.a,Jun,21,2016,usa,florida,pelican beach park,Unprovoked,Injuries to right calf,n,m,Wading,"Florida Today, 6/22/2016"
2016.06.15.b,Jun,15,2016,usa,hawaii,"kalapaki beach, kauai",Unprovoked,Single puncture wound to arm,n,m,Surfing,"West Hawaii Today, 6/16/2016"
2016.06.15.a,Jun,15,2016,australia,western australia,coral bay,Provoked,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,n,m,Spearfishing,"Perth Now, 6/16/2016"
2016.06.14,Jun,14,2016,usa,texas,"pirates beach, galveston",Unprovoked,Injury to lower leg,n,f,Floating in tube,"Click2Houston, 6/14/2016"
2016.06.11,Jun,11,2016,usa,north carolina,atlantic beach,Unprovoked,Laceration to wrist,n,m,Standing,"C. Creswell, GSAF"
2016.05.31,May,31,2016,australia,western australia,"falcon beach, mandurah",Unprovoked,FATAL,y,m,Surfing,"Perth Now, 5/31/2016"
2016.05.29.b,May,29,2016,usa,california,corona del mar,Unprovoked,Injuries to arm and shoulder,n,f,Swimming,"R. Collier, GSAF"
2016.05.29.a,May,29,2016,usa,florida,neptune,Unprovoked,Injury to posterior right leg,n,m,Swimming,"News4Jax, 5/29/2016"
2016.05.22,May,22,2016,usa,florida,vero beach,Unprovoked,Puncture wounds to thigh,n,f,Swimming,"Florida Today, 5/22/2016"
2016.05.21.b,May,21,2016,usa,florida,st. petersburg,Unprovoked,Lacerations and puncture wounds to foot and ankle,n,f,Swimming,"ABC Action News, 6/15/2016"
2016.05.21.a,May,21,2016,usa,florida,hugenot beach,Unprovoked,"Back, arm & hand injured",n,f,Swimming,"Action News Jax, 5/23/2016"
2016.05.18,May,18,2016,usa,florida,ponte vedra,Unprovoked,Ankle bitten,n,m,Swimming,"News4Jax, 5/19/2016"
2016.05.15,May,15,2016,usa,florida,boca raton,Provoked,Arm grabbed PROVOKED INCIDENT,n,f,Teasing a shark,"CBS News, 5/16/2016"
2016.04.25,Apr,25,2016,indonesia,bali,balian,Unprovoked,Elbow bitten,n,m,Surfing,"News.com.au, 4/26/2016"
2016.04.23,Apr,23,2016,usa,florida,new smyrna beach,Unprovoked,Minor injury to left foot,n,m,Surfing,"News4Jax, 4/23/2016"
2016.04.22,Apr,22,2016,south africa,western cape province,"robberg beach, plettenberg bay",Unprovoked,"No injury, surf-ski bitten",n,m,Surf-skiing,"Knysna-Plett Herald, 4/22/2016"
2016.04.19,Apr,19,2016,australia,new south wales,"first sun beach, byron bay",Unprovoked,Minor puncture wound to foot,n,m,Swimming,"Gold Coast Bulletin, 4/19/2016"
2016.04.18,Apr,18,2016,french polynesia,tuamotos,makemo atoll,Provoked,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",n,m,Spearfishing,"Tahiti Infos, 4/19/2016"
2016.04.13,Apr,13,2016,usa,florida,off singer island,Unprovoked,Multiple bites to right arm,n,m,Spearfishing,"Palm Beach Post, 4/13/2016"
2016.03.31,Mar,31,2016,usa,hawaii,"olowalu, maui",Unprovoked,Minor injury to left foot,n,f,Snorkeling,"Maui Now, 3/31/2016"
2016.03.30,Mar,30,2016,australia,new south wales,bombo beach,Unprovoked,Severe injury to thigh,n,m,Surfing,"Daily Telegraph, 3/30/2016"
2016.03.28.b,Mar,28,2016,usa,florida,fort myers beach,Unprovoked,Minor injury to arm. Possibly caused by smalll nurse shark,n,m,,"Fox 35, 3/30/2015"
2016.03.28.a,Mar,28,2016,australia,new south wales,north cronulla beach,Unprovoked,"No injury, board dented",n,m,Surfing,"B. Myatt, GSAF"
2016.03.26,Mar,26,2016,bahamas,,,Provoked,Minor injury to chest PROVOKED INCIDENT,n,m,,"Wisconsin State Journal, 4/2/2016"
2016.03.11,Mar,11,2016,usa,florida,vero beach,Unprovoked,Lacerations to right foot and ankle,n,m,Body surfing,"WCBV-5, 3/31/206"
2016.03.10,Mar,10,2016,fiji,vanua levu,,Unprovoked,FATAL,y,m,Diving for beche-de-mer,"Fiji Sun, 3/12/2016"
2016.02.22,Feb,22,2016,new caledonia,south province,"ricaudy reef, noumea",Unprovoked,Puncture wounds to right thigh,n,m,Kite surfing,"Les Nouvelles Calédoniennes, 2/23/2016"
2016.02.19,Feb,19,2016,new caledonia,south province,yate,Unprovoked,Forearm bitten,n,m,Spearfishing,"Les Nouvelles Calédoniennes, 2/19/2016"
2016.02.12,Feb,12,2016,dominican republic,altagracia province,"bavaro beach, punta cana",Unprovoked,Avulsion injury to lower leg,n,f,Wading,S. Harris
2016.01.28,Jan,28,2016,usa,hawaii,"hanalei bay, kauai",Unprovoked,Lacerations to both hands,n,m,Surfing,KHON2. 1/28/2016
2016.01.25,Jan,25,2016,usa,hawaii,"hanalei bay, kauai,",Unprovoked,No injury,n,f,Surfing,"The Garden Island, 2/2/2016"
2016.01.24.b,Jan,24,2016,usa,texas,off surfside,Unprovoked,"Bruised ribs & tail bone, speargun broken and wetsuit cut",n,m,Spearfishing,K. Love
2016.01.23,Jan,23,2016,usa,hawaii,"wailea beach, maui",Unprovoked,No injury,n,m,Paddle boarding,"Grand Forks Herald, 1/27/2915"
2016.01.11.R,Jan,11,2016,australia,queensland,"happy valley beach, caloundra",Unprovoked,Laceration to right foot,n,m,Surfing,"ABC Sunshine Coast, 1/11/2016"
2015.12.25,Dec,25,2015,spain,grand canary island,"arinaga beach, aguimes, gran canaria",Unprovoked,Lacerations to left forearm,n,f,Swimming,"Diaro de Visos, 12/26/2015"
2015.12.22,Dec,22,2015,usa,hawaii,la'aloa beach park,Unprovoked,"No injury, shark bit board",n,m,Paddle boarding,"West Hawaii Today, 12/23/2015"
2015.12.21.b,Dec,21,2015,australia,new south wales,bondi beach,Unprovoked,"No injury, shark leapt on surfboard",n,m,Surfing,"The Telegraph, 12/22/;2015"
2015.12.21.a,Dec,21,2015,brazil,pernambuco,fernano de noronha,Unprovoked,Right hand & part of forearm removed,n,m,Scuba diving,"Fox News, 12/22/2015"
2015.12.19,Dec,19,2015,aruba,,boat capsized,Unprovoked,FATAL,y,m,Sea disaster,"Fox News, 12/11/2015"
2015.12.11,Dec,11,2015,bahamas,,off andros island,Unprovoked,"Bitten on thigh, abdomen & hand",n,m,Lobster fishing,"Nassau Guardian, 12/12/2015"
2015.11.16,Nov,16,2015,usa,florida,playalinda beach,Unprovoked,Right heel injured,n,m,Surfing,WFTV. 11/17/2015
2015.11.15.b,Nov,15,2015,usa,florida,palm beach,Unprovoked,Leg injured,n,f,Swimming,"Palm Beach Post, 11/16/2015"
2015.11.15.a,Nov,15,2015,usa,florida,ocean reef park,Unprovoked,Lacerations to hand,n,m,Surfing,"5WPTV, 11/15/2015"
2015.11.10,Nov,10,2015,australia,new south wales,east ballina,Unprovoked,Injury to left thigh,n,m,Surfing,"The Sydney Morning Herald, 11/11/2015"
2015.10.30,Oct,30,2015,australia,western australia,bald island,Unprovoked,Minor injury,n,m,Spearfishing,"Perth Now, 10/30/2015"
2015.10.28.a,Oct,28,2015,usa,hawaii,"malaka, oahu",Unprovoked,"Lacerations & puncture wounds to right thigh, calf & ankle",n,m,Body boarding,"Star Advertiser, 10/28/2015"
2015.10.25,Oct,25,2015,south africa,western cape province,stil bay,Unprovoked,"Lacerations to right calf, knee & hip",n,m,Surfing,"News 24, 10/26/2015"
2015.10.21,Oct,21,2015,usa,florida,playalinda beach,Unprovoked,Lacerations to left hand,n,m,Surfing,"ClickOrlando.com, 10/21/2015"
2015.10.19,Oct,19,2015,usa,florida,deerfield beach,Unprovoked,Left foot bitten,n,m,Surfing,"NBC6.com, 10/19/2015"
2015.10.17.c,Oct,17,2015,mozambique,inhambane province,"nahaduga, inhambane bay",Unprovoked,FATAL,y,f,Fishing for shrimp,Xinhua News Agency
2015.10.17.a,Oct,17,2015,usa,hawaii,"lanikai beach, kailua, oahu",Unprovoked,Injuries to lower legs,n,m,Swimming,"KHON2, 10/17/2015"
2015.09.29,Sep,29,2015,usa,florida,vilano beach,Unprovoked,"Laceration to heel, puncture wounds to dorsum of foot",n,m,Surfing,"First Coast News, 9/30/2015"
2015.09.26,Sep,26,2015,australia,queensland,"russel island, frankland group",Unprovoked,Laceration to leg,n,f,Snorkeling,"The Cairns Post, 9/28/2015"
2015.09.24,Sep,24,2015,usa,california,horseshoe rock,Unprovoked,"No injury, kayak damaged",n,m,Kayak fishing,R. Collier
2015.09.20.d,Sep,20,2015,usa,florida,new smyrna beach,Unprovoked,Minor injury to left ankle,n,m,Surfing,"Orlando Sentinel, 9/20/2015"
2015.09.20.c,Sep,20,2015,usa,hawaii,"upolu point, north kohala, big island",Unprovoked,Severe laceration to left leg,n,m,Spearfishing,"Big Island Video, 9/20/2015"
2015.09.20.b,Sep,20,2015,usa,florida,fernandina beach,Unprovoked,Significant injuries to leg,n,m,Wading,"News4Jax, 9/21/2015"
2015.09.20.a,Sep,20,2015,usa,florida,vilano beach,Unprovoked,Injury to right hand / wrist,n,m,Photographing fish,"News4JAX, 9/21/2015"
2015.09.18,Sep,18,2015,usa,florida,big talbot island,Unprovoked,Lacerations to calf,n,m,Swimming,"Action News Jax, 9/23/2015"
2015.09.17,Sep,17,2015,usa,florida,jacksonville beach,Unprovoked,Injury to right foot,n,m,Surfing,"News4JAX, 9/15/2015"
2015.08.29.b,Aug,29,2015,usa,california,morro strand state beach,Unprovoked,"No injury, surfboard bitten",n,f,Surfing,"R. Collier, GSAF"
2015.08.29.a,Aug,29,2015,usa,california,morro bay,Unprovoked,"No injury, shark struk sufer's leg and his board",n,m,Surfing,"R. Collier, GSAF"
2015.08.22.a,Aug,22,2015,australia,new south wales,lighthouse beach,Unprovoked,Severe laceration to left buttock & thigh,n,m,Surfing,"Daily Telegraph, 8/22/2015"
2015.08.20,Aug,20,2015,usa,south carolina,murrells inlet,Unprovoked,"Injuries to left calf, arm and hand",n,m,Surfing,"C. Creswell, GSAF"
2015.08.19,Aug,19,2015,usa,florida,jacksonville beach,Unprovoked,Lacerations to right leg,n,f,Walking,"ABC News, 8/21/2015"
2015.08.18.b,Aug,18,2015,usa,california,santa barbara county,Unprovoked,"No injury, kayak bitten",n,m,Kayak Fishing,"R. Collier, GSAF"
2015.08.10,Aug,10,2015,usa,california,cortes bank,Provoked,Right hand bitten  PROVOKED INCIDENT,n,m,Spearfishing,"NBC San Diego, 8/13/2015"
2015.07.31,Jul,31,2015,australia,new south wales,evans head,Unprovoked,"Lacerations and puncture wounds to hip, thigh, arm and hand",n,m,Surfing,"Daily Telegraph, 7/31/2015"
2015.07.26.b,Jul,26,2015,usa,florida,daytona beach,Unprovoked,Minor injury to sole of foot,n,m,Surfing,CBS 7/27/2015
2015.07.25,Jul,25,2015,australia,tasmania,"lachan island, mercury passage",Unprovoked,FATAL,y,m,Scallop diving on hookah,"C. Black, GSAF"
2015.07.23.b,Jul,23,2015,usa,california,la jolla,Provoked,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,n,m,Kayak Fishing,"NBC San Diego, 7/27/2015"
2015.07.23.a,Jul,23,2015,australia,victoria,tyrendarra beach near portland,Unprovoked,Left hand bitten,n,m,Surfing,"ABC News, 7/27/2015"
2015.07.22,Jul,22,2015,reunion,,st. leu,Unprovoked,Arm bitten,n,m,Surfing,Zig Zag Surfing Magazine
2015.07.19,Jul,19,2015,south africa,eastern cape province,jeffrey's bay,Unprovoked,No injury,n,m,Surfing,"BBC, 7/20/2015"
2015.07-10,Jul,10,2015,usa,california,huntington beach,Unprovoked,"No injury, shark bumped & damaged board",n,m,Surfing,"KTLA, 7/10/2015"
2015.06.30.b,Jun,30,2015,australia,new south wales,"flat rock, yamba",Unprovoked,Hand bitten,n,m,Surfing,"The Telegraph, 7/8/2015"
2015.06.30.a,Jun,30,2015,usa,south carolina,isle of palms county park,Unprovoked,Shallow lacerations & puncture to lateral left leg,n,m,Playing in the water,"C. Creswell, GSAF"
2015.06.27.b,Jun,27,2015,usa,north carolina,rodanthe,Unprovoked,"Injuries to right calf, buttock and both hands",n,m,Swimming,"C. Creswell, WRAL, 6/27/2015"
2015.06.27.a,Jun,27,2015,south africa,western cape province,buffels bay near knysna,Unprovoked,"Right leg severed, multiple lacerations to left leg",n,m,Body Boarding,"NSRI, 6/27/205"
2015.06.26.b,Jun,26,2015,south africa,western cape province,"lookout beach, plettenberg bay",Unprovoked,Multiple lacerations to torso & leg,n,m,Surfing,Zig Zag Surfing Magazine
2015.06.26.a,Jun,26,2015,usa,south carolina,south beach,Unprovoked,Puncture wounds to foot,n,m,Standing,"C. Creswell, GSAF; WCNC, 6/26/2015"
2015.06.25.R,Jun,25,2015,australia,western australia,rottnest island,Provoked,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,n,m,Swimming,"West Australian Police, 6/25/2015"
2015.06.25,Jun,25,2015,usa,north carolina,avon,Unprovoked,Multiple lacerations to back,n,m,Body surfing?,"C. Creswell, GSAF"
2015.06.24.b,Jun,24,2015,usa,north carolina,surf city,Unprovoked,Minor injury to foot,n,m,Swimming,"C. Creswell, GSAF"
2015.06.23,Jun,23,2015,usa,south carolina,st. helena island,Unprovoked,Minor injury to calf ,n,m,Standing,"C. Creswell, GSAF; R. Lurye, Island Packet"
2015.06.19,Jun,19,2015,puerto rico,,off cabo rojo,Unprovoked,Injury to hand,n,m,Spearfishing,"Yahoo News, 6/19/2015"
2015.06.17,Jun,17,2015,usa,florida,daytona beach shores,Unprovoked,Minor injury to calf ,n,m,Swimming,"WTXL TV, 6/17/2015"
2015.06.14.b,Jun,14,2015,usa,north carolina,oak island,Unprovoked,Arm amputated below shoulder,n,m,Wading,"C. Creswell, GSAF"
2015.06.14.a,Jun,14,2015,usa,north carolina,oak island,Unprovoked,Left arm amputated at elbow & severe injury to leg,n,f,Wading,"C. Creswell, GSAF"
2015.06.13,Jun,13,2015,usa,california,off san diego,Unprovoked,Severe laceration to leg,n,f,,"Courthouse News Service, 11/18/2015"
2015.06.11,Jun,11,2015,usa,north carolina,ocean isle,Unprovoked,Minor lacerations to foot,n,f,Boogie boarding,"C. Creswell, GSAF"
2015.05.29.b,May,29,2015,usa,florida,cocoa beach,Unprovoked,Left foot bitten,n,f,Standing,"Orlando Sentinel, 5/29/2015"
2015.05.29.a,May,29,2015,usa,florida,new smyrna beach,Unprovoked,Minor lacerations to dorsum of right foot,n,f,Wading,"ClickOrlando, 5/29/2015"
2015.05.25,May,25,2015,french polynesia,rangiroa,avatoru pass,Unprovoked,Lacerations to right forearm,n,m,Spearfishing,Polynésie 1ère. 5/262015
2015.05.24,May,24,2015,usa,florida,cocoa beach,Unprovoked,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",n,f,Swimming,"WFTV,  5/27/2015"
2015.05.20,May,20,2015,usa,florida,new smyrna beach,Unprovoked,2 puncture wounds to  dorsum of left foot,n,m,Surfing,"WFTV, 5/20/2015"
2015.05.15,May,15,2015,usa,south carolina,sullivan's island,Unprovoked,Laceration to foot ,n,m,,"News 2, 5/15/2015"
2015.04.29,Apr,29,2015,usa,hawaii,kanahena cove,Unprovoked,FATAL,y,f,Snorkeling,"Star Advertiser, 4/30/2015"
2015.04.26,Apr,26,2015,usa,florida,"resident's beach, marco island",Unprovoked,Lacerations to left calf,n,m,Wading,"ABC-7, 4/27/2015"
2015.04.25,Apr,25,2015,australia,south australia,fishery bay,Unprovoked,Leg severed at mid-thigh,n,m,Surfing,"The Advertiser, 4/25/2015"
2015.04.24.c,Jun,24,2015,australia,new south wales,"belongil beach, byron bay",Unprovoked,"No injury, knocked off ski",n,m,Surf skiing ,"Echo Daily, 6/25/2015"
2015.04.13,Apr,13,2015,usa,florida,florida keys,Unprovoked,Lacerations to shoulder and left bicep,n,m,Photographing the shark,"Miami Herald, 4/25/2015"
2015.04.11,Apr,11,2015,australia,new south wales,mckenzies beach,Unprovoked,Ankle injured,n,m,Paddle boarding,"Surf Life Saving, 4/11/2015"
2015.04.12,Apr,12,2015,reunion,saint-gilles-les-bains,cap homard,Unprovoked,FATAL,y,m,Surfing,"Le Huffington Post, 4/15/2015"
2015.03.21,Mar,21,2015,egypt,,marsa alam,Unprovoked,FATAL,y,m,Swimming,"E. Ritter, GSAF"
2015.03.18,Mar,18,2015,usa,hawaii,hapuna beach,Unprovoked,Lacerations to left forearm. Lacerations to left hand and thigh,n,m,Standing / Snorkeling,"KMBC, 3/19/2015"
2015.03.16,Mar,16,2015,french polynesia,bora bora,anau,Unprovoked,Hand bitten,n,m,Hand feeding sharks,"Radio1, 3/16/2015"
2015.03.10,Mar,10,2015,mexico,sinaloa,mazlatan,Provoked,Right hand bitten by hooked shark PROVOKED INCIDENT,n,m,Fishing,"Noreste, 3/10/2015"
2015.02.14,Feb,14,2015,reunion,détang-salé,ravine mula,Unprovoked,FATAL,y,f,Swimming,"L'Yonne Républicaine, 2/14/2015"
2015.01.27,Jan,27,2015,usa,hawaii,lahaina,Provoked,Lacerations to calf by hooked shark PROVOKED INCIDENT,n,m,Shark fishing,"Huffington Post, 1/28/2015"
2015.01.24,Jan,24,2015,australia,new south wales,flat rock,Unprovoked,"No injury, surfboard dented",n,m,Surfing,"Northern Star, 1/26/2015"
2015.01.16,Jan,16,2015,australia,new south wales,"mollymook beach, bannister head",Unprovoked,Bitten on hand & wrist,n,m,Filming,"Milton-Ulladulla Times, 1/16/2015"
2014.12.29.a,Dec,29,2014,australia,western australia,three stripes near cheynes beach,Unprovoked,FATAL,y,m,Spearfishing,"The West Australian, 12/29/2014"
2014.12.28.b,Dec,28,2014,usa,california,montaña de oro state park,Unprovoked,Injury to hip/leg,n,m,Surfing,"R. Collier, GSAF"
2014.12.28.a,Dec,28,2014,australia,victoria,paradise beach,Provoked,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,n,m,Fishing,"ABC.net.au, 12/28/2014"
2014.12.23.R,Dec,23,2014,japan,,,Unprovoked,"No injury, shark snagged its teeth in diver's suit",n,m,Diving / Filming,"Maxisciences.com, 12/23/2014"
2014.12.15,Dec,15,2014,australia,queensland,rudder reef,Unprovoked,FATAL,y,m,Spearfishing,"Herald Sun, 12/15/2014"
2014.11.29,Nov,29,2014,australia,western australia,"pyramids beach, port bouvard",Unprovoked,Minor injuries to right leg,n,m,Surfing,"The Sydney Morning Herald, 11/29/2014"
2014.11.20,Nov,20,2014,mauritius,cargados carajos shoals (st. brandon),,Provoked,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",y,m,Fishing,A. R. Ramjatan 
2014.11.16,Nov,16,2014,usa,florida,indian harbor beach,Unprovoked,Laceration to left hand,n,m,Surfing,"USA Today, 11/16/2014"
2014.11.13,Nov,13,2014,usa,hawaii,"airplane beach, lahina, west maui",Unprovoked,Laceration to left upper leg,n,m,Snorkeling,"G. Kubota, Star Advertiser, 11/13/2014"
2014.11.10,Nov,10,2014,australia,new south wales,moonee beach,Unprovoked,Minor injury to lower leg and foot,n,m,Surfing,"Norhern Rivers Echo, 11/10/2014"
2014.10.31,Oct,31,2014,usa,hawaii,north kohala,Unprovoked,Lacerations to fingers,n,f,Surfing,"L. Kubota, Hawaii News Now, 10/31/2014"
2014.10.30,Oct,29,2014,australia,new south wales,wallabi point,Provoked,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,n,m,Surfing,"The Sydney Morning Herald, 10/30/2014"
2014.10.22,Oct,22,2014,usa,hawaii,"kihei, maui",Unprovoked,"No injury, paddleboard bitten",n,f,Stand-Up Paddleboarding,"Hawaii News Now, 10/22/2014"
2014.10.20,Oct,20,2014,usa,hawaii,"kahului, maui",Unprovoked,"No injury, paddleboard bitten",n,m,Stand-Up Paddleboarding,"The Maui News, 10/21/2014"
2014.10.18,Oct,18,2014,usa,hawaii,"maalaea, south maui",Unprovoked,"No injury, surfboard bitten",n,m,Surfing,"Star Advertiser, 10/18/2014"
2014.10.17,Oct,17,2014,australia,new south wales,avoca beach,Unprovoked,"Lacerations to left calf & ankle, puncture wounds to left foot",n,f,Surfing,"Sydney Morning Herald, 10/17/2014"
2014.10.14,Oct,14,2014,usa,south carolina,hilton head island,Unprovoked,Lacerations to left foot,n,f,Standing in inner tube,"TheIndyChannel, 10/16,2014"
2014.10.12,Oct,12,2014,usa,florida,melbourne beach,Unprovoked,Laceration to right hand/wrist,n,f,Body surfing or Boogie boarding,"Florida Today, 10/13/2014"
2014.09.21,Sep,21,2014,usa,florida,new smyrna beach,Unprovoked,Minor injury to left foot,n,m,Surfing,"NBC2 News, 9/21/2014"
2014.09.13.R,Sep,12,2014,french polynesia,moorea,tiahura lagoon,Unprovoked,Thumb & finger nipped,n,f,Feeding fish,"LeDepeche, 9/12/2014"
2014.08.31,Aug,31,2014,usa,florida,new smyrna beach,Unprovoked,Injury to left calf,n,f,Body surfing,"Sun Sentinel, 8/31/2014"
2014.08.29.b,Aug,29,2014,usa,florida,ponce inlet,Unprovoked,Lacerations to shin,n,m,Surfing,"Click Orlando, 9/12/2014"
2014.08.28,Aug,28,2014,usa,maryland,assateague national seashore,Provoked,Lacerations to foot by hooked shark PROVOKED INCIDENT,n,m,Fishing,"Delmarva Now, 8/29/2014"
2014.08.27.c,Aug,27,2014,spain,alicante,benidorm,Unprovoked,Minor lacerations to posterior lower leg,n,f,Swimming,"Diario Informacion, 8/29/2014"
2014.08.27.b,Aug,27,2014,usa,north carolina,figure eight island,Unprovoked,Laceration to left hand,n,m,Surfing,"C. Creswell, GSAF"
2014.08.27.a,Aug,27,2014,usa,south carolina,surfside beach,Unprovoked,Heel bitten,n,f,Standing,"C. Creswell, GSAF"
2014.08.25,Aug,25,2014,usa,florida,apalachicola bay,Provoked,Lacerations to forearm from hooked shark PROVOKED INCIDENT,n,m,Fishing for sharks,"Nooga.com, 8/25/2014"
2014.08.16,Aug,16,2014,australia,western australia,gnaraloo,Unprovoked,Lacerations to face and neck,n,m,Spearfishing,"Herald Sun, 8/21/2014"
2014.08.12,Aug,12,2014,usa,florida,3 to 4 miles west of indian pass,Unprovoked,Puncture wounds and lacerations to left thigh and knee,n,m,Standing,"K. Hayes / Brewton Standard, 8/19/2014"
2014.08.10,Aug,10,2014,usa,florida,hallandale beach,Unprovoked,Puncture wounds & lacerations to foot,n,m,,"CBS Miami, 8/11/1014"
2014.07.27,Jul,27,2014,usa,north carolina,sunset beach,Unprovoked,Left foot bitten,n,m,Swimming,"C. Creswell, GSAF"
2014.07.22,Jul,22,2014,reunion,saint-leu,,Unprovoked,Lacerations to right wrist & calf,n,m,Surfing,"BFM-tv, 7/22/2014"
2014.07.21,Jul,21,2014,usa,florida,indialantic,Unprovoked,Lacerations to right knee,n,m,Standing,"ClickOrlando, 7/22/2014"
2014.07.16,Jul,16,2014,usa,hawaii,"paia bay, maui",Unprovoked,Lacerations to left foot,n,m,Swimming,"Maui Now, 7/16/2014"
2014.07.14,Jul,14,2014,usa,florida,okaloosa island,Unprovoked,Puncture wounds to foot,n,m,Swimming,"W. Victora, Daily News, 7/15/2014"
2014.07.12,Jul,12,2014,usa,north carolina,masonboro island,Unprovoked,Lacerations to hand and wrist,n,m,Body surfing,"C. Creswell, GSAF"
2014.06.25,Jun,25,2014,bahamas,abaco islands,,Unprovoked,No injury but shark took his pole spear,n,m,Spearfishing,"A. Brenneka, Shark Attack Survivors, M. Adams"
2014.06.18.b,Jun,18,2014,australia,south australia,"middleton point, fleurieu peninsula",Unprovoked,"No injury, surfboard 'attacked'",n,m,Surfing,"The Times, 6/19/2014"
2014.06.18.a,Jun,18,2014,australia,south australia,"middleton point, fleurieu peninsula",Unprovoked,Lacerations to knee,n,m,Body boarding,"The Advertiser, 6/19/2014"
2014.06.17.R,Jun,17,2014,australia,western australia,horizontal falls,Provoked,Lacerations to right hand by captive shark PROVOKED INCIDENT,n,m,Petting a shark,"Meribula News, 6/17/2014"
2014.05.27.R,May,24,2014,australia,queensland,nerang river near chevron island,Unprovoked,Lacerations to legs,n,f,Fell into the water,"Gold Coast Bulletin, 4/27/2014"
2014.05.23,May,23,2014,france,wallis and futuna,wallis island,Unprovoked,Lacerations to left thigh and hip,n,m,Scuba diving,Facebook.com
2014.05.22,May,22,2014,australia,new south wales,the australian shark and ray centre,Provoked,Cut to tip of finger by a captive shark PROVOKED INCIDENT,n,m,Teasing a shark,"Newcastle Herald, 5/22/2014"
2015.11.20,Nov,20,2015,ecuador,galapagos islands,"punta vicente roca, isabella island",Unprovoked,Lacerations to left calf,n,m,Snorkeling,G. Hurley
2014.05.15,May,15,2014,usa,florida,juan ponce de león landing,Unprovoked,Calf bitten,n,f,Body boarding,"M. Michaelson, Shark Research Institute"
2014.05.14,May,14,2014,australia,south australia,"elliston, eyre peninsula",Unprovoked,"No injury, but surfboard severely damaged",n,m,Surfing,"N. Davies, The Advertiser, 5/114/2014"
2014.05.13,May,13,2014,usa,florida,jacksonville beach,Unprovoked,Lacerations and puncture wounds to right foot,n,f,Wading,"M. Michaelson, Shark Research Institute"
2014.05.11,May,11,2014,usa,georgia,tybee island,Unprovoked,Puncture wounds to right thigh,n,m,Surfing,"Savannah Morning News, 5/12/2014"
2014.04.24,Apr,24,2014,australia,western australia,"south passage, south of coral bay",Unprovoked,Minor injury,n,m,Spearfishing,"9 News, 4/24/2014"
2014.04.22,Apr,22,2014,usa,florida,cocoa beach,Unprovoked,Laceration & puncture wounds to right foot,n,m,Swimming,"R. Neale, Florida Today, 4/22/2014"
2014.04.15,Apr,15,2014,usa,florida,new smyrna beach,Unprovoked,Minor lacerations to left foot,n,m,Wading,"Daytona Beach News-Journal, 4/15/2014"
2014.04.12,Apr,12,2014,south africa,eastern cape province,port alfred,Provoked,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,n,m,Fishing,"The Citizen, 4/12/2014"
2014.03.22.b,Mar,22,2014,south africa,eastern cape province,"second beach, port st johns",Unprovoked,FATAL,y,m,Swimming,"Austrian Independent, 3/24/2014"
2014.03.22.a,Mar,22,2014,usa,florida,delray beach,Unprovoked,Lacerations to left forearm,n,m,Kite Surfing,"TC Palm, 3/23/2014"
2014.03.21,Mar,21,2014,usa,florida,macarthur state park,Unprovoked,Lacerations to toes and heel of right foot,n,m,Surfing,"E. Guy, WPBF, 3/26/2014"
2014.03.18.c,Mar,18,2014,new caledonia,baie de sainte-marie,,Unprovoked,Lacerations to calf,n,m,Kite Surfing,"A. Brenneka, Shark Attack Surviors"
